transformation_type,numerical_count,theoretical_count,objects_generated,iteration,ratio,description,integration_params
CMND,2,4.672773837186522,1000000,10,2.336386918593261,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,6,4.672773837186522,1000000,11,0.778795639531087,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,5,4.672773837186522,1000000,12,0.9345547674373044,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,3,4.672773837186522,1000000,13,1.557591279062174,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,4,4.672773837186522,1000000,14,1.1681934592966303,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,5,4.672773837186522,1000000,15,0.9345547674373044,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,5,4.672773837186522,1000000,16,0.9345547674373044,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,3,4.672773837186522,1000000,17,1.557591279062174,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,4,4.672773837186522,1000000,18,1.1681934592966303,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,3,4.672773837186522,1000000,19,1.557591279062174,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,47,46.72773837186522,10000000,0,0.9942071994013877,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,39,46.72773837186522,10000000,1,1.1981471377401338,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,46,46.72773837186522,10000000,2,1.0158203993883743,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,52,46.72773837186522,10000000,3,0.8986103533051004,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
CMND,36,46.72773837186522,10000000,4,1.2979927325518117,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.1, 0.1, 0.1, 0.4218930481283423, 0.4218930481283423, 0.4218930481283423)}"
