,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx,earthy,earthz,sunx,suny,sunz
72,2021-10-20 00:43:57,59.0,154.3,31.4,27.5,12.9,4.2,-23.9,20000000000.0,0.073,132018875.79672322,67182631.12713194,20792.075935475874,-1242323.1605764073,591555.0712476351,24203.394091183884
73,2021-09-29 10:50:59,53.9,-148.0,28.0,21.2,-3.5,-9.0,-18.9,137000000000.0,0.4,147744331.15985763,16850944.77286774,22086.546426877598,-1228865.1591559213,616487.4002325874,23687.632038688072
74,2021-09-06 17:55:42,-2.1,-111.8,26.0,13.6,-4.4,6.9,10.9,31000000000.0,0.11,143771176.6505858,-40763553.244839035,24143.429808565303,-1213116.8996409725,643462.6687788793,23096.797938831412
76,2021-07-29 13:19:57,42.4,98.4,26.4,14.7,-1.6,-11.9,-8.4,37000000000.0,0.13,88838367.6914048,-121643424.13448694,27899.393541131438,-1184013.323532205,688517.2993902769,22038.918848806807
78,2021-07-05 03:46:24,44.3,-164.2,43.4,15.7,0.7,15.7,-0.5,740000000000.0,1.8,33223791.31562855,-147448390.65273273,28449.767157026392,-1164832.7048939613,715619.2327118306,21367.199267116288
81,2021-05-06 05:54:27,-34.7,141.0,31.0,26.6,9.6,-24.4,-4.6,21000000000.0,0.076,-106625578.93182081,-107133277.42661458,25535.736383685504,-1114575.0767651366,779220.6769809197,19670.69688748235
83,2021-04-13 02:16:47,26.8,-79.1,44.4,14.1,-2.8,12.6,5.6,21000000000.0,0.076,-139075357.35061562,-58038123.24459577,22455.527640593158,-1093969.1022215304,802741.324222393,18996.7401739551
84,2021-04-02 15:52:58,71.2,106.7,40.0,14.1,-8.9,6.3,-9.0,137000000000.0,0.4,-146897462.90233415,-32411174.511834268,20741.672950062628,-1084447.088626502,813139.9580227887,18687.365426861536
85,2021-03-06 08:43:06,-48.6,90.4,31.1,18.1,12.7,-4.7,12.0,141000000000.0,0.41,-144885932.771828,37480345.500280336,16582.994429178114,-1058858.0940076543,839681.6650892786,17858.768729192383
86,2021-03-05 13:50:01,-81.1,141.1,32.5,23.3,10.1,-8.4,19.2,39000000000.0,0.13,-144337958.9883445,39447496.12620845,16388.240815190533,-1058106.617860718,840431.7071871454,17834.495159758964
88,2021-02-09 23:27:29,75.8,-92.8,31.0,13.1,-5.2,6.3,-10.3,30000000000.0,0.1,-116006047.6668392,93457090.12418753,13340.53786976386,-1035234.6735007871,862518.9355278187,17098.052879876668
89,2021-02-02 10:03:21,48.7,80.1,20.0,12.8,4.0,-6.7,-10.1,31000000000.0,0.11,-102498264.40225522,107826215.82947583,11758.760321331121,-1027780.0808274524,869426.2560295808,16859.451569860816
90,2021-01-31 02:59:39,5.3,115.2,39.4,15.2,14.0,-5.8,1.7,267000000000.0,0.72,-98034759.668276,111824043.625132,11448.109320658941,-1025505.4811799761,871507.1423096225,16786.833155667933
91,2021-01-29 16:12:47,38.8,-51.3,30.0,14.3,-14.2,1.9,-0.6,77000000000.0,0.24,-95134056.49039489,114256836.52785754,11318.213124215677,-1024065.8090837983,872817.8372272474,16740.914917568865
93,2021-01-24 07:33:43,-45.0,95.5,37.5,19.2,13.3,-3.7,13.3,61000000000.0,0.2,-83890165.31648219,122606032.56330861,11141.123149808222,-1018721.2381246486,877640.6100330945,16570.726463944986
94,2020-12-29 20:32:22,14.9,-158.2,33.0,14.4,-3.0,10.2,-9.7,49000000000.0,0.16,-22256661.759395733,146456843.63912222,8863.239384779044,-992933.0107561825,899982.0967184359,15753.928551410345
95,2020-12-28 17:27:53,36.8,-54.7,28.3,15.2,1.5,3.5,-14.7,57000000000.0,0.18,-19332314.871785358,146859601.86255372,8906.325237070294,-991775.8944575855,900950.1325837739,15717.444119814014
96,2020-12-22 23:23:33,31.9,96.2,35.5,13.6,-2.6,5.9,-12.1,4898000000000.0,9.5,-4328870.062200414,148015883.53885844,9051.717906243572,-985857.3631778911,905858.1009204419,15531.102177372415
97,2020-11-28 16:34:11,33.3,135.1,28.1,19.6,1.8,-16.5,-10.4,26000000000.0,0.092,57587123.71977866,136382074.89044487,8461.228625044336,-960566.9527840979,926060.1192417649,14741.101388846875
99,2020-11-07 21:27:04,59.8,16.8,22.3,16.7,-10.8,1.2,-12.7,111000000000.0,0.33,102678080.88667482,106929568.96710096,8489.555434326894,-938534.3651437432,942736.1098517005,14063.628229465729
100,2020-10-26 15:09:10,-5.9,160.4,28.5,17.6,10.9,-13.8,-0.1,114000000000.0,0.34,123238004.4278412,82759475.39334525,9902.200625336356,-925375.6303781733,952322.7228967226,13664.863987723726
102,2020-10-22 17:39:33,22.0,-133.5,40.0,17.6,-9.4,14.1,-4.9,44000000000.0,0.15,128636780.87811747,74249815.08959317,9931.728217397973,-921166.0112198888,955330.971771295,13538.088198484129
106,2020-10-18 10:52:43,-11.4,-135.8,36.0,16.4,15.6,1.5,4.9,36000000000.0,0.12,133890974.59973042,64507043.89779564,9826.352564541605,-916521.0923520245,958616.6421448928,13398.554363675976
107,2020-09-18 08:05:27,2.4,-169.7,46.0,11.7,10.2,2.9,-4.9,41000000000.0,0.14,148986570.13713387,-10579813.245734006,12147.885323775585,-883335.2621940321,981056.8458304881,12410.3431109023
108,2020-08-30 16:08:22,26.0,133.5,27.8,23.4,7.8,-21.7,3.7,64000000000.0,0.2,138621720.1922633,-56901329.91756264,14370.816733031463,-862297.9116407849,994340.9960319168,11790.674030247104
109,2020-08-02 16:36:25,-35.1,-34.2,38.0,11.1,0.5,6.0,9.3,74000000000.0,0.23,97866674.08769304,-114326937.6513925,16163.6939455882,-830089.1774551691,1013270.9256263775,10851.47051848696
111,2020-07-20 21:25:09,-51.8,-11.2,31.6,14.1,-2.9,-1.0,-13.8,50000000000.0,0.16,71303611.80283082,-132796242.62396674,16228.260313326047,-815088.1222079893,1021507.125134229,10417.23526783478
112,2020-07-12 07:50:32,-48.7,74.0,29.4,18.3,-5.0,-13.0,-11.9,75000000000.0,0.23,51579350.068396285,-141747475.2044537,17057.965010200365,-804959.3537205156,1026854.6225350491,10124.353549236965
113,2020-05-27 17:30:18,40.8,41.7,29.3,14.9,-6.0,-7.3,-11.5,57000000000.0,0.18,-60956687.56656091,-138082347.06253916,14871.532210786087,-750126.1115631436,1052938.493819282,8543.885849720544
117,2020-05-09 02:56:11,44.8,-131.0,31.2,14.5,-13.0,-4.0,-5.0,41000000000.0,0.14,-100448042.88613291,-112364294.1771979,13252.535694896122,-727471.1270979039,1062431.8447007856,7897.011160240391
121,2020-03-26 23:27:56,-38.3,23.5,26.5,20.7,-10.0,3.2,17.8,124000000000.0,0.37,-148997366.30817747,-15793652.53965681,7927.695750774429,-674629.1599160742,1082105.8609239035,6404.672195666233
124,2020-03-04 20:25:59,-53.3,90.8,24.3,19.8,-5.2,2.2,19.0,394000000000.0,1.0,-143589946.88783935,40851347.183974296,4167.993891175681,-647436.96557605,1091031.22469607,5643.906745808825
125,2020-02-28 09:30:34,45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1,115000000000.0,0.34,-138956429.83988792,54235121.751544,3769.3808568508193,-640724.6249295563,1093122.2523216272,5457.002092660361
127,2020-02-10 23:48:17,28.2,76.7,41.7,31.7,-27.8,-14.3,-5.2,27000000000.0,0.095,-116031022.10572146,93137809.74705963,573.1823139740699,-619277.6423317397,1099524.1633501502,4862.644540096463
128,2020-01-27 05:39:15,30.4,1.5,32.5,19.8,-2.0,-16.6,-10.6,44000000000.0,0.15,-88135591.33727038,119573382.0973809,-491.7742275644566,-601028.5708674567,1104638.8807259628,4359.3713264357975
129,2020-01-24 11:13:31,28.0,-35.8,32.0,21.2,-18.6,-9.0,-4.7,26000000000.0,0.092,-82182545.26888682,123694140.55945912,-1000.1736099521677,-597596.633585005,1105564.9110309728,4264.7783260978085
130,2020-01-21 20:07:44,33.1,34.3,43.3,27.4,-7.5,-23.5,-11.9,28000000000.0,0.098,-76347591.56444286,127337107.18932101,-1524.0275009921947,-594334.1496737966,1106434.4053511051,4174.852515216655
131,2020-01-17 21:29:49,19.4,-66.0,14.5,15.5,-13.2,8.1,1.2,97000000000.0,0.29,-67296182.32729465,132287692.9446446,-2192.4192472125073,-589436.0943502637,1107719.842749648,4039.8331963281526
132,2020-01-16 09:31:42,-71.7,-116.4,27.8,12.9,9.8,-4.5,7.0,59000000000.0,0.19,-63769668.24407476,134003695.64768846,-2361.3183784888956,-587572.8219061428,1108202.505257204,3988.4661510691008
135,2019-12-21 14:30:52,56.5,-147.6,35.5,22.2,14.9,-8.1,-14.3,65000000000.0,0.21,1641514.434276353,148267412.97613248,-4041.0108539179305,-555370.860173607,1115980.4725439786,3100.4348690503452
136,2019-12-11 01:19:11,47.7,161.7,37.0,17.8,13.7,-10.9,-3.3,39000000000.0,0.13,29045570.141557176,145427624.70186242,-3717.6504999296512,-542128.5406707329,1118862.186517016,2735.3416443972365
139,2019-11-28 20:30:54,35.7,-31.7,35.0,13.0,-11.6,-2.5,-5.4,27000000000.0,0.095,59418012.52918083,135988444.08454195,-4052.4950770676255,-526770.1460547313,1121968.1739705831,2312.48979830689
141,2019-11-28 11:55:02,-22.1,25.7,22.5,24.7,-22.8,-5.5,7.6,25000000000.0,0.089,60275261.35293267,135614834.98428538,-4084.525695951316,-526318.5273894795,1122055.6662572331,2300.072389407554
