,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx,earthy,earthz,sunx,suny,sunz
142,2019-11-05 11:24:51,-10.4,-143.3,38.0,27.4,5.2,12.3,23.9,110000000000.0,0.33,108908465.36706895,101297963.45215423,-3055.7519069927735,-497225.2470045697,1127232.6876823974,1502.9873778930848
144,2019-10-10 16:16:36,44.3,122.9,47.3,14.1,1.5,-12.9,-5.4,206000000000.0,0.57,142551752.51585397,44305858.76216519,-1345.7364096740478,-464482.40937735443,1131937.9083350543,610.1494809543863
145,2019-09-28 10:40:20,-12.5,-107.2,52.0,20.4,-10.1,11.2,13.7,23000000000.0,0.082,148961114.08072713,13550140.439793784,-1109.9761533220474,-448938.97616608016,1133749.6552958058,188.25550015671163
147,2019-09-14 12:39:34,-38.6,-33.5,38.0,15.9,-12.9,8.1,4.6,109000000000.0,0.33,148269343.2570779,-22024736.225383073,821.5482592232165,-431268.07307189907,1135488.1227298747,-288.90236266448846
148,2019-09-13 02:02:04,-18.6,126.9,27.4,13.5,5.2,-8.1,9.5,42000000000.0,0.14,147715715.330891,-25670701.054752596,878.7257439138858,-429437.6306095428,1135649.1027720522,-338.144879467787
149,2019-09-12 12:49:48,54.5,9.2,42.0,18.5,-18.1,-0.4,3.7,169000000000.0,0.48,147481095.08788583,-27057002.432362653,891.519762524656,-428739.66674355674,1135709.5569124694,-356.9113526886441
150,2019-09-12 02:34:58,24.9,-47.8,30.6,17.2,-11.7,11.7,4.6,59000000000.0,0.19,147290104.29291016,-28131154.16571888,898.4273922347737,-428198.0501083395,1135756.1166259714,-371.4701254450733
151,2019-08-24 12:02:59,21.9,-130.4,39.8,13.4,11.1,-5.2,5.4,40000000000.0,0.13,131609224.63137126,-72704079.31149195,2304.2394187009354,-404629.6026406717,1137492.298275414,-1001.1901629122995
153,2019-08-16 20:36:05,38.9,7.0,36.0,14.9,-3.9,4.0,-13.8,25000000000.0,0.089,121258196.616635,-89129611.13264067,2927.49100484536,-394965.667831604,1138047.3581539784,-1257.0253067350914
154,2019-07-23 20:42:58,44.6,-147.6,30.6,16.1,1.5,15.1,-5.5,255000000000.0,0.69,76651859.1593017,-129885688.07014228,4197.182574893262,-364673.5678016005,1139205.9920481301,-2052.8939075045614
155,2019-06-30 16:52:58,21.2,-129.5,59.0,42.3,25.2,31.2,-13.3,32000000000.0,0.11,21779745.256951805,-149342225.66265532,4257.863870132443,-335501.2467708136,1139474.1055209732,-2814.0086057742856
157,2019-06-22 21:25:48,14.9,-66.2,25.0,14.9,-13.4,6.0,2.5,2947000000000.0,6.0,2091409.4539870108,-150883916.77479595,4194.333980973994,-325678.0954812719,1139375.408511237,-3069.424715796902
159,2019-05-26 10:07:55,56.6,-25.3,24.4,17.5,3.8,-5.8,16.1,42000000000.0,0.14,-65222028.52528477,-135791301.25386387,2760.22694876248,-291197.2177276485,1138260.9607790264,-3962.8931996596866
160,2019-05-25 06:44:04,-19.2,89.4,29.2,15.8,0.2,-15.7,2.1,49000000000.0,0.16,-67814697.64678292,-134495240.62643686,2586.6301235623437,-289766.7822151257,1138188.8017831063,-3999.843865878279
162,2019-05-21 13:21:35,-38.8,137.5,31.5,11.5,4.4,-8.5,6.4,656000000000.0,1.6,-76091821.1243447,-129921395.9681458,1943.3074750993233,-285101.57704526605,1137938.9990452451,-4120.314918163461
163,2019-05-19 14:47:03,-23.6,132.8,33.3,15.2,7.3,-12.2,5.3,33000000000.0,0.11,-80288205.62348872,-127332377.35179016,1615.7136434033505,-282671.0192453458,1137799.9895883342,-4183.067499758742
166,2019-04-22 21:42:11,-48.8,67.8,33.3,11.4,3.4,-4.2,10.0,124000000000.0,0.37,-127486649.16744299,-79023565.00382553,-1280.1324833816454,-249269.76846262955,1135234.827396518,-5047.257681190633
167,2019-04-14 17:54:33,18.3,-74.6,30.6,15.9,-2.5,5.9,-14.6,29000000000.0,0.1,-137055504.3682031,-60467928.45748603,-2312.904237329963,-239101.72912217226,1134199.0529681155,-5311.3102340684345
168,2019-04-06 11:59:09,56.5,94.9,41.5,18.1,6.2,11.1,-12.9,70000000000.0,0.22,-144027618.71858224,-40484331.97901918,-2866.297551648882,-228847.45534508993,1133029.7430862754,-5577.975773348428
171,2019-03-19 02:06:39,-24.0,140.3,28.7,16.2,10.2,0.4,12.6,20000000000.0,0.073,-149015207.1523924,6522265.5386601,-6215.853757508748,-206069.20121862297,1129978.2678617244,-6171.000079581684
172,2019-03-15 12:26:56,63.7,95.7,31.5,14.4,5.4,-13.2,1.7,46000000000.0,0.15,-148247191.71066728,15718130.67334089,-6409.639466672615,-201675.5498575345,1129317.4716679417,-6285.358088599688
