#clean data from CNOS fireballs catalog without nan values
#this data was download 2023-10-05
#addign earth and sun SSB positions, latitud and longitud float values, ecliptic and velocity positions. 

Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx (km),earthy (km),earthz (km),sunx (km),suny (km),sunz (km),earthvx (km/s),earthvy (km/s),earthvz (km/s),sunvx (km/s),sunvy (km/s),sunvz (km/s),x_ecliptic (km),y_ecliptic (km),z_ecliptic (km),vx_ecliptic (km/s),vy_ecliptic (km/s),vz_ecliptic (km/s)
2019-08-16 20:36:05,38.9,7.0,36.0,14.9,-3.9,4.0,-13.8,25000000000.0,0.089,121258196.616635,-89129611.13264067,2927.49100484536,-394965.667831604,1138047.3581539784,-1257.0253067350914,17.24614964027397,23.798377723333292,-6.977187593046693e-05,-0.014626786595778967,-0.0007731368239965661,0.0003862584257684737,931.2016005292495,-2914.0239930785565,5628.047213865042,3.360192804726695,-1.7490130345420964,-14.289871423676681
2019-07-23 20:42:58,44.6,-147.6,30.6,16.1,1.5,15.1,-5.5,255000000000.0,0.69,76651859.1593017,-129885688.07014228,4197.182574893262,-364673.5678016005,1139205.9920481301,-2052.8939075045614,25.184673788524744,14.971868364684164,-0.0003972809085406372,-0.014595480219958434,-0.0003428148851621334,0.0003819382482797818,-1106.4441217027147,5848.649418631334,2346.6005170705043,14.17924329756044,-7.776554033063823,-2.6525404766024843
2019-06-30 16:52:58,21.2,-129.5,59.0,42.3,25.2,31.2,-13.3,32000000000.0,0.11,21779745.256951805,-149342225.66265532,4257.863870132443,-335501.2467708136,1139474.1055209732,-2814.0086057742856,28.98491707784072,4.215697377981503,-0.0008597488279764265,-0.014562210201127362,7.52252467139767e-05,0.0003789246029597803,4473.814374158807,4595.170407184287,519.9864678489741,-29.31925423793187,-30.4092918622776,-1.2517436156641093
2019-06-22 21:25:48,14.9,-66.2,25.0,14.9,-13.4,6.0,2.5,2947000000000.0,6.0,2091409.4539870108,-150883916.77479595,4194.333980973994,-325678.0954812719,1139375.408511237,-3069.424715796902,29.280363973553122,0.3515568010412609,0.0010451151828117498,-0.014550663957304703,0.00021745957510670746,0.0003780616522144792,-5994.402909170623,2057.5173117009635,903.2999461677697,13.105411656108307,7.663397320412372,-0.6246430951291728
2019-05-26 10:07:55,56.6,-25.3,24.4,17.5,3.8,-5.8,16.1,42000000000.0,0.14,-65222028.52528477,-135791301.25386387,2760.22694876248,-291197.2177276485,1138260.9607790264,-3962.8931996596866,26.411558336084013,-12.884558423042701,0.0016636895642155476,-0.014503750098341116,0.0007211527791273368,0.00037469473265248346,3488.444136483157,2680.272714124256,4631.330601661165,6.530613627771304,3.844702961864172,15.867740549525767
2019-05-25 06:44:04,-19.2,89.4,29.2,15.8,0.2,-15.7,2.1,49000000000.0,0.16,-67814697.64678292,-134495240.62643686,2586.6301235623437,-289766.7822151257,1138188.8017831063,-3999.843865878279,26.15996149119863,-13.395585232074872,0.0018480590582258332,-0.014502063423682253,0.0007420684208638686,0.0003745782779999653,1799.2171608321546,4467.265123619756,-4222.666191678185,-3.903975390222487,-13.129590467237316,7.989206028383393
2019-05-21 13:21:35,-38.8,137.5,31.5,11.5,4.4,-8.5,6.4,656000000000.0,1.6,-76091821.1243447,-129921395.9681458,1943.3074750993233,-285101.57704526605,1137938.9990452451,-4120.314918163461,25.27469823088797,-15.026112062574272,0.0020344659178770323,-0.014497094852321205,0.0008108963165983395,0.0003743005569748117,-4029.416194780474,-4314.2659895581355,-2475.3457655818684,8.980227154007862,5.278826674861304,4.668542882097525
2019-05-19 14:47:03,-23.6,132.8,33.3,15.2,7.3,-12.2,5.3,33000000000.0,0.11,-80288205.62348872,-127332377.35179016,1615.7136434033505,-282671.0192453458,1137799.9895883342,-4183.067499758742,24.77580435522437,-15.853255075041586,0.0018392006268492616,-0.014494735899413943,0.0008472849921198808,0.00037422297112871565,-3685.6451260491895,-5217.056088052104,-511.1101427925098,10.674376932794052,10.612330879210084,1.1538045367180145
2019-04-22 21:42:11,-48.8,67.8,33.3,11.4,3.4,-4.2,10.0,124000000000.0,0.37,-127486649.16744299,-79023565.00382553,-1280.1324833816454,-249269.76846262955,1135234.827396518,-5047.257681190633,15.367812073874227,-25.311106616294015,0.002340739279269173,-0.014440300685553242,0.001384339006120851,0.00037469292574510854,-1884.4980186629614,-5388.094720855577,-2892.938105055427,-3.3471183667500344,8.172574807527702,7.363037071164133
2019-04-14 17:54:33,18.3,-74.6,30.6,15.9,-2.5,5.9,-14.6,29000000000.0,0.1,-137055504.3682031,-60467928.45748603,-2312.904237329963,-239101.72912217226,1134199.0529681155,-5311.3102340684345,11.73791254787186,-27.263557419409814,0.0005895802142029353,-0.014409849556283308,0.001554767013629286,0.00037449264502545284,4906.666462338663,4100.788401347006,391.468110424461,-4.382018311035638,-10.208115542608724,-11.47845356918846
2019-04-06 11:59:09,56.5,94.9,41.5,18.1,6.2,11.1,-12.9,70000000000.0,0.22,-144027618.71858224,-40484331.97901918,-2866.297551648882,-228847.45534508993,1133029.7430862754,-5577.975773348428,7.788053541731703,-28.73571165975374,0.0014923084757337488,-0.014371888835430792,0.0017273455990458287,0.0003739569076225867,-1138.1002249919059,5204.424245296768,3555.30793275196,3.5591269188758377,6.198279667697261,-16.754737442590212
2019-03-19 02:06:39,-24.0,140.3,28.7,16.2,10.2,0.4,12.6,20000000000.0,0.073,-149015207.1523924,6522265.5386601,-6215.853757508748,-206069.20121862297,1129978.2678617244,-6171.000079581684,-1.5723341372424744,-29.868031003689026,0.0007835437153561253,-0.014260241161118311,0.0021069639282863413,0.00037123740805157615,5723.122193862561,-2152.5379521551163,-1901.3163904367423,-8.911095333806387,-0.03718219179858373,13.767497319359881
2019-03-15 12:26:56,63.7,95.7,31.5,14.4,5.4,-13.2,1.7,46000000000.0,0.15,-148247191.71066728,15718130.67334089,-6409.639466672615,-201675.5498575345,1129317.4716679417,-6285.358088599688,-3.4093564822399833,-29.75295930215133,0.0006220628421756742,-0.014234309037000991,0.0021784160987869186,0.00037040579407386523,-234.64391135558517,4879.595566562182,4122.895550926378,5.434459307035065,-11.486687614986874,6.821874949696389
2019-02-18 10:00:43,-15.5,25.3,26.0,20.8,-16.6,-12.6,0.6,1958000000000.0,4.2,-127152751.4456838,76841054.55211592,-10255.163690110538,-171020.39899173658,1124077.501308804,-7080.400010892836,-15.746489271053104,-25.68614095384633,0.00040864490202546994,-0.014034098058458823,0.0026436336818403136,0.00036266513623237214,4942.589691258888,-4068.720485542511,-99.39351840567497,-19.177866924143732,7.958889664389268,-2.757722692552799
2019-02-01 18:17:10,22.5,-83.8,23.7,16.3,-2.4,13.6,8.7,579000000000.0,1.4,-99425628.18671435,110093058.42714326,-12398.869334288407,-150923.3763396238,1120062.7076220703,-7599.129721509911,-22.53224412260122,-20.172347371676583,0.0023704252144039523,-0.01389505255875921,0.0029342301987343323,0.0003582399771146721,4657.621901225464,-2389.038737893954,3680.0491575899823,-11.651827304381454,10.307570098780042,5.0372082055846
