index,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),vx,vy,vz,lat,lon,a (km),e,i (rad),Omega (rad),omega (rad),M (rad)
51,2022-03-11 21:22:46,70.0N,9.1W,33.3,-11.5,-5.3,-11.7,70.0,-9.1,332056253.0161273,0.5944266688107558,0.16808984224651122,-0.12300813522610404,3.8355051053463267,5.581198355207412
55,2022-02-17 03:53:24,5.4N,56.4E,32.4,-4.4,-19.6,-7.7,5.4,56.4,127149305.7104827,0.4041340610126884,0.5329556966812972,-0.5609146938977811,0.7893289644750823,1.1405551502955387
56,2022-02-07 20:06:26,28.7S,11.4E,26.5,-8.9,-7.3,-6.3,-28.7,11.4,177965550.5114441,0.2327290421175177,0.10140591057772994,-0.7137133928400391,3.998455238333934,0.5804628350435443
57,2022-02-03 19:50:40,13.3S,142.2E,36.0,17.6,9.7,-10.8,-13.3,142.2,176057828.68682665,0.3822002284656676,0.5401018908449963,-0.7914321352705218,1.6392367376498864,2.7889643316223776
60,2022-01-11 03:33:13,58.4S,160.2W,40.8,-2.5,5.3,22.0,-58.4,-160.2,201503946.14393485,0.2792692193257438,0.6144260772235726,1.9323963811227785,5.993458464365011,5.874212633328563
62,2021-12-29 03:15:35,69.7S,115.0E,44.0,7.4,-8.6,18.8,-69.7,115.0,229769837.40012386,0.5452679696588204,0.34987963602297384,1.700491219919614,4.882600452186386,3.264482272748465
64,2021-12-20 23:15:55,62.7N,60.3E,56.0,10.3,-7.1,-13.2,62.7,60.3,122047516.79754138,0.25323917447247046,0.4700796608453404,-1.5870683817151945,0.43002167278623915,2.101904064380051
66,2021-11-28 18:06:50,32.6N,113.5E,38.4,0.2,-2.2,-19.6,32.6,113.5,182812585.83394718,0.28274691676301206,0.4800611009716441,-1.97982130163291,4.190152642366297,2.604663955676605
67,2021-11-17 15:53:21,6.8S,119.1E,35.0,7.0,-18.3,-12.0,-6.8,119.1,341570220.10226256,0.7162993620227917,0.18208984309110404,-2.1362251801628354,4.4710175979467275,1.661868325814762
70,2021-10-21 10:32:02,51.5N,51.4E,30.0,-14.1,-7.0,-1.9,51.5,51.4,175964292.60323483,0.36799560848816626,0.06837369229273897,-2.6547716024381263,1.6155771222967505,0.3063883915506853
72,2021-10-20 00:43:57,59.0N,154.3E,31.4,12.9,4.2,-23.9,59.0,154.3,344875290.571637,0.5843587598960124,0.7113598150866408,-2.673711734340624,2.7209998233079986,3.23772811705516
73,2021-09-29 10:50:59,53.9N,148.0W,28.0,-3.5,-9.0,-18.9,53.9,-148.0,256610072.63721117,0.4349847816117574,0.5154803657140873,-3.031306298952377,2.676292801888154,1.927856788463174
74,2021-09-06 17:55:42,2.1S,111.8W,26.0,-4.4,6.9,10.9,-2.1,-111.8,271117428.96249515,0.4383370075176286,0.13209838096531074,-0.27450649061045307,6.266592817668073,1.4334416838268798
76,2021-07-29 13:19:57,42.4N,98.4E,26.4,-1.6,-11.9,-8.4,42.4,98.4,318092169.8722084,0.5260702755774058,0.19436851224584692,2.214398663093198,3.0676266449989917,3.487989894381166
78,2021-07-05 03:46:24,44.3N,164.2W,43.4,0.7,15.7,-0.5,44.3,-164.2,256928181.05550376,0.4754922334113243,0.07322440685296445,1.8109077352144092,3.991056025078401,4.650095797162571
83,2021-04-13 02:16:47,26.8N,79.1W,44.4,-2.8,12.6,5.6,26.8,-79.1,209369601.37231356,0.3094424641850731,0.17403907995469678,-2.7379656646054955,0.6445049468120994,4.945103223677561
84,2021-04-02 15:52:58,71.2N,106.7E,40.0,-8.9,6.3,-9.0,71.2,106.7,223023711.8758494,0.3980170347311429,0.041847752488956294,0.23964246699533054,2.202843663968345,5.2958336388955045
85,2021-03-06 08:43:06,48.6S,90.4E,31.1,12.7,-4.7,12.0,-48.6,90.4,355107803.66396314,0.6153285333153453,0.3412410961515115,2.901614619700337,0.18782579344845907,0.26320742295550925
86,2021-03-05 13:50:01,81.1S,141.1E,32.5,10.1,-8.4,19.2,-81.1,141.1,186745200.9003388,0.34702598694350456,0.5872284159493871,2.8796247300607476,1.2500967650355488,0.0364620389989625
88,2021-02-09 23:27:29,75.8N,92.8W,31.0,-5.2,6.3,-10.3,75.8,-92.8,239545600.0581255,0.39866515305184985,0.06817330450690991,-0.655745375179791,3.4975125775502853,0.8673401625943304
89,2021-02-02 10:03:21,48.7N,80.1E,20.0,4.0,-6.7,-10.1,48.7,80.1,230941182.71317554,0.36921877334811387,0.08543194311699738,-0.8018691123510424,3.331130036626729,5.948320749634739
90,2021-01-31 02:59:39,5.3N,115.2E,39.4,14.0,-5.8,1.7,5.3,115.2,260155617.16508093,0.4886303832359626,0.0022908377179438524,2.264468050622782,5.507278845818508,3.595269873158039
94,2020-12-29 20:32:22,14.9N,158.2W,33.0,-3.0,10.2,-9.7,14.9,-158.2,340377282.4371523,0.570978244142476,0.12871512350937897,-1.4064964041646333,3.187074338129174,2.1087912001381426
95,2020-12-28 17:27:53,36.8N,54.7W,28.3,1.5,3.5,-14.7,36.8,-54.7,146521976.7490985,0.10654642679852913,0.3325121596986309,-1.4403575798392483,4.872418228365275,1.6035641678375816
96,2020-12-22 23:23:33,31.9N,96.2E,35.5,-2.6,5.9,-12.1,31.9,96.2,315362875.5388413,0.5304112833708061,0.10240724623308867,-1.5462545436646364,3.359702965329104,1.9047555256588602
97,2020-11-28 16:34:11,33.3N,135.1E,28.1,1.8,-16.5,-10.4,33.3,135.1,334997735.4166553,0.6613068171892431,0.10661524183326954,-1.9416568874779354,4.22910447032321,2.995884472423448
99,2020-11-07 21:27:04,59.8N,16.8E,22.3,-10.8,1.2,-12.7,59.8,16.8,262221656.0983598,0.4885762669970982,0.24793883270490816,-2.3446230093542146,3.927007380481077,6.132985053055435
100,2020-10-26 15:09:10,5.9S,160.4E,28.5,10.9,-13.8,-0.1,-5.9,160.4,243173068.39132178,0.5377047350348743,0.06619326918914989,0.5866961034557547,1.2450683456301963,3.931787286269138
102,2020-10-22 17:39:33,22.0N,133.5W,40.0,-9.4,14.1,-4.9,22.0,-133.5,398836127.22785634,0.6568355573409353,0.2013948697803487,-2.6212215683225426,2.584337166781159,4.570938222718871
106,2020-10-18 10:52:43,11.4S,135.8W,36.0,15.6,1.5,4.9,-11.4,-135.8,316256797.1487154,0.5840268776357932,0.11662097259560733,0.45797077134662445,0.8265228553663739,1.4391387261311106
107,2020-09-18 08:05:27,2.4N,169.7W,46.0,10.2,2.9,-4.9,2.4,-169.7,159379636.473205,0.0996139572356502,0.08744425237694824,3.0767533756362067,4.134747051149761,5.375481690881549
108,2020-08-30 16:08:22,26.0N,133.5E,27.8,7.8,-21.7,3.7,26.0,133.5,532281565.92511964,0.8838223606571296,0.07577316214167201,-1.93284683748744,2.979913907653522,3.4119069175833787
109,2020-08-02 16:36:25,35.1S,34.2W,38.0,0.5,6.0,9.3,-35.1,-34.2,141045332.97664553,0.07402337613719645,0.04836916635621944,-0.7944728279912115,2.889994315334551,2.0429470811193315
111,2020-07-20 21:25:09,51.8S,11.2W,31.6,-2.9,-1.0,-13.8,-51.8,-11.2,117542629.39128098,0.366071400789192,0.14244763477460906,2.0690937633995703,0.4348756961594775,3.534272635455547
112,2020-07-12 07:50:32,48.7S,74.0E,29.4,-5.0,-13.0,-11.9,-48.7,74.0,183113412.3088287,0.418139958084321,0.25975860127447575,1.9219197693901227,1.5589505486953588,2.1425544920123762
113,2020-05-27 17:30:18,40.8N,41.7E,29.3,-6.0,-7.3,-11.5,40.8,41.7,293451782.0610394,0.47965565514957387,0.22142486709334816,1.170198728616617,3.1898643021631896,1.4923775487933106
117,2020-05-09 02:56:11,44.8N,131.0W,31.2,-13.0,-4.0,-5.0,44.8,-131.0,100469027.54841277,0.5008905890667773,0.0518959713820838,0.8421283270213665,6.177443711595049,1.9626952437403666
121,2020-03-26 23:27:56,38.3S,23.5E,26.5,-10.0,3.2,17.8,-38.3,23.5,200017613.9680842,0.33307124821776457,0.49746654915524435,-3.028564597297659,0.9652680414567412,0.7615594935449108
124,2020-03-04 20:25:59,53.3S,90.8E,24.3,-5.2,2.2,19.0,-53.3,90.8,203409365.4906562,0.2771225186858756,0.5082600722347275,2.8693642232081533,6.021805012599139,3.20218830768272
125,2020-02-28 09:30:34,45.7N,15.1E,34.5,-18.2,-11.3,-2.1,45.7,15.1,216032839.55167428,0.5924840940397345,0.13964758287496618,-0.36409515590345665,1.4697971146588795,2.0623831908966643
127,2020-02-10 23:48:17,28.2N,76.7E,41.7,-27.8,-14.3,-5.2,28.2,76.7,220682805.87842146,0.8336956978162715,0.02837489627479631,-0.668410593548252,5.413072372101205,1.4456403775407152
128,2020-01-27 05:39:15,30.4N,1.5E,32.5,-2.0,-16.6,-10.6,30.4,1.5,240779010.39171296,0.47910691874560524,0.3620367230457733,-0.9338034255612168,2.1495874619207864,3.9121935592767807
